Full_Name,Job_Title,Company_Name
Amit Sharma,Founder,TechNova Solutions
Priya Reddy,CTO,DataSpark AI
Rahul Mehta,Head of Engineering,CloudEdge Systems
Sneha Iyer,Co-Founder,InnoTech Labs
Arjun Verma,Engineering Manager,NextGen Analytics
Kavita Nair,CEO,QuantumLeap Technologies
Manish Gupta,VP Product,NeuralWorks AI
Radhika Menon,Director of Strategy,CodeSphere Innovations
Suresh Patil,Head of Data Science,VisionAI Labs
Ananya Joshi,Co-Founder,SmartGrid Systems
Vikram Rao,CTO,DeepCore Analytics
Meera Krishnan,Head of Operations,CloudBridge Tech
Nikhil Bhatia,VP Engineering,AIverse Technologies
Shalini Desai,Product Head,IntelliWare Solutions
Rohit Kapoor,Founder,Synapse AI
Divya Narayan,Chief Architect,FutureTech Systems
Aditya Kulkarni,Director of AI,BrainWave Labs
Pooja Malhotra,Co-Founder,EdgeVision Technologies
Sanjay Rao,Head of Innovation,NovaTech AI
Neha Agarwal,VP Strategy,CloudMind Solutions
Karan Singh,CTO,DataPulse Systems
Ishita Roy,Head of Engineering,AIPath Technologies
Abhishek Jain,Founder,TechNest Labs
Ritu Sharma,Director of Product,QuantumAI Systems
Varun Nair,VP Engineering,NeuralEdge Solutions
Tanya Kapoor,Co-Founder,SmartAI Innovations
Deepak Menon,Head of Cloud,SkyNet Technologies
Swati Deshpande,Chief Data Officer,InsightAI Labs
Harish Iyer,Director of R&D,NextWave Analytics
Anjali Gupta,VP Product,AIWorks Technologies
